customer_id,first_name,email,country,signup_date,age_group
1,Customer_1,customer1@email.com,USA,2023-10-17,26-35
2,Customer_2,customer2@email.com,Germany,2022-04-25,36-45
3,Customer_3,customer3@email.com,Canada,2022-01-26,46-55
4,Customer_4,customer4@email.com,UK,2022-10-09,36-45
5,Customer_5,customer5@email.com,USA,2022-09-08,46-55
6,Customer_6,customer6@email.com,USA,2022-08-17,36-45
7,Customer_7,customer7@email.com,USA,2022-05-23,36-45
8,Customer_8,customer8@email.com,Australia,2022-04-15,46-55
9,Customer_9,customer9@email.com,Canada,2023-11-24,26-35
10,Customer_10,customer10@email.com,Canada,2023-07-13,26-35
11,Customer_11,customer11@email.com,USA,2022-03-31,26-35
12,Customer_12,customer12@email.com,Germany,2023-08-28,56+
13,Customer_13,customer13@email.com,Australia,2023-03-09,56+
14,Customer_14,customer14@email.com,USA,2022-02-02,18-25
15,Customer_15,customer15@email.com,USA,2022-01-31,36-45
16,Customer_16,customer16@email.com,USA,2022-04-06,56+
17,Customer_17,customer17@email.com,USA,2022-08-12,26-35
18,Customer_18,customer18@email.com,UK,2022-08-27,36-45
19,Customer_19,customer19@email.com,UK,2023-06-02,56+
20,Customer_20,customer20@email.com,USA,2023-09-09,18-25
21,Customer_21,customer21@email.com,Canada,2022-01-28,36-45
22,Customer_22,customer22@email.com,USA,2023-07-29,26-35
23,Customer_23,customer23@email.com,USA,2022-07-23,56+
24,Customer_24,customer24@email.com,USA,2023-10-28,56+
25,Customer_25,customer25@email.com,UK,2023-12-20,56+
26,Customer_26,customer26@email.com,Australia,2023-07-13,26-35
27,Customer_27,customer27@email.com,USA,2023-03-06,46-55
28,Customer_28,customer28@email.com,UK,2022-08-14,46-55
29,Customer_29,customer29@email.com,UK,2023-04-05,26-35
30,Customer_30,customer30@email.com,USA,2023-08-27,46-55
31,Customer_31,customer31@email.com,Canada,2022-10-12,18-25
32,Customer_32,customer32@email.com,USA,2022-01-07,36-45
33,Customer_33,customer33@email.com,USA,2022-06-13,26-35
34,Customer_34,customer34@email.com,Germany,2023-12-16,18-25
35,Customer_35,customer35@email.com,Germany,2023-03-09,18-25
36,Customer_36,customer36@email.com,Australia,2022-12-15,36-45
37,Customer_37,customer37@email.com,USA,2022-10-12,26-35
38,Customer_38,customer38@email.com,USA,2022-06-09,36-45
39,Customer_39,customer39@email.com,Canada,2022-08-09,18-25
40,Customer_40,customer40@email.com,UK,2022-12-11,26-35
41,Customer_41,customer41@email.com,USA,2022-04-15,36-45
42,Customer_42,customer42@email.com,UK,2022-04-05,46-55
43,Customer_43,customer43@email.com,USA,2023-01-25,26-35
44,Customer_44,customer44@email.com,Germany,2022-04-10,36-45
45,Customer_45,customer45@email.com,USA,2023-01-03,46-55
46,Customer_46,customer46@email.com,Canada,2022-12-19,36-45
47,Customer_47,customer47@email.com,USA,2023-09-11,26-35
48,Customer_48,customer48@email.com,UK,2022-09-28,18-25
49,Customer_49,customer49@email.com,UK,2022-02-14,46-55
50,Customer_50,customer50@email.com,USA,2023-04-16,18-25
51,Customer_51,customer51@email.com,Germany,2023-07-04,46-55
52,Customer_52,customer52@email.com,Australia,2022-05-08,36-45
53,Customer_53,customer53@email.com,Germany,2023-01-23,56+
54,Customer_54,customer54@email.com,Australia,2022-03-22,46-55
55,Customer_55,customer55@email.com,UK,2023-07-20,56+
56,Customer_56,customer56@email.com,Germany,2022-10-28,26-35
57,Customer_57,customer57@email.com,USA,2023-10-06,46-55
58,Customer_58,customer58@email.com,USA,2023-09-26,26-35
59,Customer_59,customer59@email.com,USA,2023-01-06,26-35
60,Customer_60,customer60@email.com,USA,2023-08-15,36-45
61,Customer_61,customer61@email.com,USA,2022-07-16,46-55
62,Customer_62,customer62@email.com,USA,2023-12-23,56+
63,Customer_63,customer63@email.com,Australia,2022-03-13,46-55
64,Customer_64,customer64@email.com,USA,2022-02-16,26-35
65,Customer_65,customer65@email.com,USA,2023-11-09,26-35
66,Customer_66,customer66@email.com,UK,2022-08-22,36-45
67,Customer_67,customer67@email.com,USA,2022-10-24,26-35
68,Customer_68,customer68@email.com,Australia,2022-03-23,18-25
69,Customer_69,customer69@email.com,USA,2022-08-27,26-35
70,Customer_70,customer70@email.com,Germany,2022-04-14,26-35
71,Customer_71,customer71@email.com,Australia,2023-01-25,26-35
72,Customer_72,customer72@email.com,USA,2022-10-12,26-35
73,Customer_73,customer73@email.com,USA,2023-04-10,18-25
74,Customer_74,customer74@email.com,Australia,2023-10-13,18-25
75,Customer_75,customer75@email.com,Canada,2023-01-09,56+
76,Customer_76,customer76@email.com,Canada,2022-06-16,26-35
77,Customer_77,customer77@email.com,Australia,2023-01-15,26-35
78,Customer_78,customer78@email.com,USA,2022-12-30,36-45
79,Customer_79,customer79@email.com,USA,2022-08-03,26-35
80,Customer_80,customer80@email.com,USA,2023-11-18,56+
81,Customer_81,customer81@email.com,Australia,2022-10-01,46-55
82,Customer_82,customer82@email.com,Canada,2023-12-20,18-25
83,Customer_83,customer83@email.com,USA,2023-12-01,26-35
84,Customer_84,customer84@email.com,USA,2023-10-26,46-55
85,Customer_85,customer85@email.com,USA,2022-03-15,56+
86,Customer_86,customer86@email.com,USA,2023-09-16,26-35
87,Customer_87,customer87@email.com,Canada,2023-10-13,36-45
88,Customer_88,customer88@email.com,Canada,2022-06-25,26-35
89,Customer_89,customer89@email.com,Australia,2023-07-01,56+
90,Customer_90,customer90@email.com,UK,2022-09-08,26-35
91,Customer_91,customer91@email.com,USA,2022-06-17,56+
92,Customer_92,customer92@email.com,Canada,2023-04-19,36-45
93,Customer_93,customer93@email.com,Australia,2023-01-24,36-45
94,Customer_94,customer94@email.com,UK,2022-10-04,36-45
95,Customer_95,customer95@email.com,Australia,2023-10-18,26-35
96,Customer_96,customer96@email.com,UK,2023-12-06,26-35
97,Customer_97,customer97@email.com,UK,2023-07-25,26-35
98,Customer_98,customer98@email.com,UK,2022-08-13,26-35
99,Customer_99,customer99@email.com,USA,2023-12-03,46-55
100,Customer_100,customer100@email.com,USA,2022-11-29,26-35
101,Customer_101,customer101@email.com,USA,2022-02-27,18-25
102,Customer_102,customer102@email.com,Canada,2022-08-23,56+
103,Customer_103,customer103@email.com,USA,2022-02-02,46-55
104,Customer_104,customer104@email.com,UK,2022-11-20,56+
105,Customer_105,customer105@email.com,Germany,2023-02-15,56+
106,Customer_106,customer106@email.com,USA,2022-10-02,26-35
107,Customer_107,customer107@email.com,UK,2022-03-09,26-35
108,Customer_108,customer108@email.com,Australia,2022-08-05,46-55
